iter	Passed	Remaining
0	19	12225
1	32	10478
2	50	10656
3	63	10115
4	87	11140
5	100	10579
6	118	10732
7	133	10525
8	149	10505
9	161	10149
10	174	9964
11	186	9762
12	193	9344
13	203	9102
14	211	8830
15	218	8532
16	226	8301
17	232	8024
18	238	7781
19	245	7612
20	252	7440
21	258	7248
22	263	7075
23	269	6929
24	276	6809
25	282	6677
26	288	6541
27	293	6419
28	300	6339
29	308	6280
30	319	6278
31	335	6380
32	347	6399
33	360	6429
34	373	6459
35	386	6476
36	395	6451
37	408	6472
38	422	6511
39	435	6527
40	445	6504
41	453	6454
42	460	6393
43	466	6321
44	473	6255
45	480	6198
46	486	6138
47	490	6052
48	495	5974
49	499	5895
50	504	5828
51	508	5750
52	513	5686
53	517	5614
54	521	5548
55	525	5482
56	529	5411
57	532	5342
58	535	5277
59	539	5213
60	542	5150
61	545	5088
62	549	5028
63	551	4967
64	555	4910
65	558	4853
66	561	4798
67	564	4747
68	567	4695
69	570	4646
70	573	4596
71	576	4549
72	579	4501
73	582	4455
74	585	4408
75	588	4365
76	591	4321
77	593	4279
78	596	4237
79	600	4200
80	603	4163
81	606	4127
82	609	4090
83	612	4054
84	615	4018
85	618	3982
86	621	3948
87	624	3915
88	627	3884
89	630	3853
90	634	3825
91	637	3795
92	640	3769
93	645	3747
94	648	3721
95	652	3696
96	655	3671
97	659	3647
98	663	3626
99	667	3604
100	671	3584
101	675	3563
102	679	3542
103	683	3524
104	687	3504
105	691	3485
106	696	3467
107	700	3448
108	704	3429
109	708	3412
110	713	3398
111	717	3380
112	721	3363
113	725	3347
114	729	3331
115	734	3315
116	737	3298
117	741	3281
118	745	3262
119	748	3245
120	752	3229
121	756	3213
122	761	3201
123	766	3189
124	770	3174
125	774	3158
126	778	3142
127	781	3126
128	785	3110
129	789	3097
130	793	3084
131	797	3070
132	802	3057
133	805	3041
134	809	3028
135	813	3013
136	816	2999
137	822	2990
138	826	2979
139	831	2968
140	835	2956
141	841	2950
142	846	2942
143	850	2931
144	854	2918
145	859	2907
146	863	2895
147	867	2882
148	870	2868
149	873	2854
150	877	2843
151	882	2832
152	885	2819
153	890	2809
154	894	2798
155	898	2786
156	901	2774
157	905	2762
158	908	2749
159	912	2736
160	914	2722
161	917	2708
162	921	2696
163	924	2682
164	927	2669
165	930	2656
166	933	2643
167	936	2629
168	939	2617
169	942	2605
170	945	2592
171	948	2580
172	951	2569
173	955	2558
174	959	2548
175	962	2538
176	966	2529
177	970	2519
178	975	2511
179	980	2504
180	984	2495
181	988	2486
182	992	2477
183	995	2467
184	999	2459
185	1003	2449
186	1008	2442
187	1011	2432
188	1015	2423
189	1019	2414
190	1024	2407
191	1028	2399
192	1031	2390
193	1035	2381
194	1039	2373
195	1043	2364
196	1047	2356
197	1052	2349
198	1057	2342
199	1060	2334
200	1065	2326
201	1069	2318
202	1072	2309
203	1077	2302
204	1082	2296
205	1085	2287
206	1089	2278
207	1092	2269
208	1096	2261
209	1101	2254
210	1105	2247
211	1109	2238
212	1112	2230
213	1116	2222
214	1120	2215
215	1124	2207
216	1128	2199
217	1132	2191
218	1136	2184
219	1139	2176
220	1144	2169
221	1147	2161
222	1152	2155
223	1157	2149
224	1161	2141
225	1164	2133
226	1167	2124
227	1170	2115
228	1173	2106
229	1176	2097
230	1179	2088
231	1182	2079
232	1188	2075
233	1191	2067
234	1194	2059
235	1199	2052
236	1202	2044
237	1205	2036
238	1208	2028
239	1212	2020
240	1216	2013
241	1219	2005
242	1222	1997
243	1225	1989
244	1229	1981
245	1232	1973
246	1236	1967
247	1240	1960
248	1243	1953
249	1248	1946
250	1251	1939
251	1255	1933
252	1261	1929
253	1265	1922
254	1268	1915
255	1273	1910
256	1279	1906
257	1283	1900
258	1288	1895
259	1294	1891
260	1300	1888
261	1307	1886
262	1313	1882
263	1321	1881
264	1325	1876
265	1330	1870
266	1335	1865
267	1340	1860
268	1346	1857
269	1354	1855
270	1359	1851
271	1364	1845
272	1368	1840
273	1373	1835
274	1378	1829
275	1382	1823
276	1386	1817
277	1391	1811
278	1396	1806
279	1401	1801
280	1407	1797
281	1412	1792
282	1417	1787
283	1421	1782
284	1426	1776
285	1430	1771
286	1437	1767
287	1443	1763
288	1452	1764
289	1458	1760
290	1464	1755
291	1469	1750
292	1474	1746
293	1483	1745
294	1488	1740
295	1493	1735
296	1498	1730
297	1503	1725
298	1507	1719
299	1513	1715
300	1517	1709
301	1522	1703
302	1526	1697
303	1531	1692
304	1535	1686
305	1539	1680
306	1542	1672
307	1545	1665
308	1548	1659
309	1552	1653
310	1556	1646
311	1559	1639
312	1562	1632
313	1566	1625
314	1569	1619
315	1572	1612
316	1576	1606
317	1580	1599
318	1583	1593
319	1586	1586
320	1591	1581
321	1595	1575
322	1599	1569
323	1603	1563
324	1607	1557
325	1611	1552
326	1615	1546
327	1618	1539
328	1622	1534
329	1627	1528
330	1631	1523
331	1636	1517
332	1641	1513
333	1645	1507
334	1648	1501
335	1652	1495
336	1656	1489
337	1660	1484
338	1664	1478
339	1669	1473
340	1674	1468
341	1678	1462
342	1682	1456
343	1686	1450
344	1690	1445
345	1694	1439
346	1699	1434
347	1703	1429
348	1707	1423
349	1712	1419
350	1717	1414
351	1721	1408
352	1726	1403
353	1730	1398
354	1735	1393
355	1738	1387
356	1742	1381
357	1746	1375
358	1750	1369
359	1754	1364
360	1758	1359
361	1762	1353
362	1765	1347
363	1770	1342
364	1773	1336
365	1777	1330
366	1780	1324
367	1785	1319
